Channel Id,Channel Url,Channel Title
UCMgz6xKnRhknj0QZn4kyhdA,http://www.youtube.com/channel/UCMgz6xKnRhknj0QZn4kyhdA,charusharu
UCN-qGJtXJCiG0mMXR2fga6A,http://www.youtube.com/channel/UCN-qGJtXJCiG0mMXR2fga6A,Jaiden
UCNMyoMaXJZITZaRKCz7G23Q,http://www.youtube.com/channel/UCNMyoMaXJZITZaRKCz7G23Q,Peter Knetter
UCN_3Z0OTnYhFZmo4NeymuPQ,http://www.youtube.com/channel/UCN_3Z0OTnYhFZmo4NeymuPQ,Hobson
UCNdNkUfhFfzBtKRU_5QgUvw,http://www.youtube.com/channel/UCNdNkUfhFfzBtKRU_5QgUvw,kekeflipnote
UCNki4tdtDzrZLUyW18_ppoQ,http://www.youtube.com/channel/UCNki4tdtDzrZLUyW18_ppoQ,PaPaSea
UCNnKprAG-MWLsk-GsbsC2BA,http://www.youtube.com/channel/UCNnKprAG-MWLsk-GsbsC2BA,Flashgitz
UCO14AcxrvCKAcKnJ-QlzS4A,http://www.youtube.com/channel/UCO14AcxrvCKAcKnJ-QlzS4A,Riifushi
UCORaUhZVpg7yhxJeaPSTGmQ,http://www.youtube.com/channel/UCORaUhZVpg7yhxJeaPSTGmQ,Pontypants
UCORkUj9eaM2aDJM1VYyDDTA,http://www.youtube.com/channel/UCORkUj9eaM2aDJM1VYyDDTA,Sam Hogan
UCOUykBZFKfgqAkdyEY8JLHg,http://www.youtube.com/channel/UCOUykBZFKfgqAkdyEY8JLHg,Addy Valentine
UCOYWgypDktXdb-HfZnSMK6A,http://www.youtube.com/channel/UCOYWgypDktXdb-HfZnSMK6A,TomSka
UCP0_k4INXrwPS6HhIyYqsTg,http://www.youtube.com/channel/UCP0_k4INXrwPS6HhIyYqsTg,Steven He
UCPHeAtHSXnymNh8b_Kkj2rw,http://www.youtube.com/channel/UCPHeAtHSXnymNh8b_Kkj2rw,Cherdleys
UCPJHQ5_DLtxZ1gzBvZE99_g,http://www.youtube.com/channel/UCPJHQ5_DLtxZ1gzBvZE99_g,AnthonyPadilla
UCPYtQkET_jYxFvXe34YI3_w,http://www.youtube.com/channel/UCPYtQkET_jYxFvXe34YI3_w,Joey Carlino
UCPipGON7E7TV4vw3ByW031g,http://www.youtube.com/channel/UCPipGON7E7TV4vw3ByW031g,GradeBUnderB
UCPtpIZxiPuEYcWtI0X9g_-g,http://www.youtube.com/channel/UCPtpIZxiPuEYcWtI0X9g_-g,Tiny Fish
UCQ1L7xgZwKDCXd1n7mc_LCw,http://www.youtube.com/channel/UCQ1L7xgZwKDCXd1n7mc_LCw,Merideth Morgan
UCQ9HvHH-KRYHI5ynj2kbLwQ,http://www.youtube.com/channel/UCQ9HvHH-KRYHI5ynj2kbLwQ,TheAMaazing
UCQALLeQPoZdZC4JNUboVEUg,http://www.youtube.com/channel/UCQALLeQPoZdZC4JNUboVEUg,Jabrils
UCQzJ9rrUSDh6Cc7Jfn2qCIg,http://www.youtube.com/channel/UCQzJ9rrUSDh6Cc7Jfn2qCIg,DrCoeloCephalo
UCR4u8Ny7c3V8qkvIF3JJG-Q,http://www.youtube.com/channel/UCR4u8Ny7c3V8qkvIF3JJG-Q,Kevin Temmer Tunes
UCRLHJ-7b4pjDpBBHAUXEvjQ,http://www.youtube.com/channel/UCRLHJ-7b4pjDpBBHAUXEvjQ,conaticus
UCRTRqkhrehrY9hJJcLVUeRQ,http://www.youtube.com/channel/UCRTRqkhrehrY9hJJcLVUeRQ,Toniko Pantoja
UCSAYHSNaY5_UEol4_frPurg,http://www.youtube.com/channel/UCSAYHSNaY5_UEol4_frPurg,MandJTV
UCSUf5_EPEfl4zlBKZHkZdmw,http://www.youtube.com/channel/UCSUf5_EPEfl4zlBKZHkZdmw,Danny Gonzalez
UCSvuYPxQVAKIipWgIqRUUoA,http://www.youtube.com/channel/UCSvuYPxQVAKIipWgIqRUUoA,GatorEX
UCTSRIY3GLFYIpkR2QwyeklA,http://www.youtube.com/channel/UCTSRIY3GLFYIpkR2QwyeklA,Drew Gooden
UCTXlQt-VoAWMj2Jwnt5-V4A,http://www.youtube.com/channel/UCTXlQt-VoAWMj2Jwnt5-V4A,solomon gumball
UCTjPQWeqxGI9KAD_X6e8BAQ,http://www.youtube.com/channel/UCTjPQWeqxGI9KAD_X6e8BAQ,Ric
UCTrAO0TDCldnYUN3BkLmGcw,http://www.youtube.com/channel/UCTrAO0TDCldnYUN3BkLmGcw,b001
UCU23CAa9oKtxRVvBMkgIanQ,http://www.youtube.com/channel/UCU23CAa9oKtxRVvBMkgIanQ,mattyburrito MB
UCUTX0Ek1sccH392l9qGWf0A,http://www.youtube.com/channel/UCUTX0Ek1sccH392l9qGWf0A,Aarimous
UCUmLRMERmJrmUtgnbFfknAg,http://www.youtube.com/channel/UCUmLRMERmJrmUtgnbFfknAg,Randy
